Группа и строка из 646 приказа;Тип продукции;ID типа продукции;Продукция;ТН ВЭД Продукции;Guid продукции;Вид продукции;ТН ВЭД Вида продукции;Guid вида продукции
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;мясо индейки;207;0eff6391-0557-4e98-be87-8b6bc6dd8d13
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"курица домашняя: ""фарш и мясо мехобвалки, мороженые""";207141;3ba12c63-6275-87b1-57cf-e58ab7917e4b
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"курица домашняя: ""части тушек необваленные мороженые""";0207142-0207147;2fdc442d-c328-9529-a617-ecb1d1222a67
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;полуфабрикаты натуральные из мяса птицы;207;360b597f-7106-4036-8546-f7e2374f8253
Группа 2, Строка 1;Мясо и мясопродукты;1;буйволятина;202;e84f3cb2-0fd9-403e-8abf-9a2c7f1aa71f;буйволятина;202;c626f013-0539-44ec-83f7-e4f018e577ad
Группа 2, Строка 1;Мясо и мясопродукты;1;баранина;204;74269863-8169-ca83-e48e-37fc80e8c0a9;баранина в тушах, полутушах и четвертинах мороженая;204;b56e54ce-ab4a-c728-dc71-0109e353fe47
Группа 2, Строка 1;Мясо и мясопродукты;1;баранина;204;74269863-8169-ca83-e48e-37fc80e8c0a9;баранина в тушах, полутушах и четвертинах охлажденная;204;19213f49-fb83-b4f5-4c2f-bb25f8209fd7
Группа 2, Строка 1;Мясо и мясопродукты;1;баранина;204;74269863-8169-ca83-e48e-37fc80e8c0a9;баранина охлажденная;204;080466c1-fcdd-fb14-2498-734b01c53d5b
Группа 2, Строка 1;Мясо и мясопродукты;1;баранина;204;74269863-8169-ca83-e48e-37fc80e8c0a9;баранина;204;303c5d83-e003-6e06-c1a3-da717ba5fdf8
Группа 2, Строка 1;Мясо и мясопродукты;1;баранина;204;74269863-8169-ca83-e48e-37fc80e8c0a9;баранина охлажденная и мороженая;204;0bb794a7-2814-4580-847a-a3c4f711afbb
Группа 2, Строка 1;Мясо и мясопродукты;1;конина;0205, 0210;64930556-cbb2-13db-bcdc-572eb188e45e;конина бескостная;205;2583faa4-f86e-3def-1173-e1d210b1b1aa
Группа 2, Строка 1;Мясо и мясопродукты;1;конина;0205, 0210;64930556-cbb2-13db-bcdc-572eb188e45e;конина;205;006c243c-ace4-e178-39d5-cccd89501009
Группа 2, Строка 1;Мясо и мясопродукты;1;конина;0205, 0210;64930556-cbb2-13db-bcdc-572eb188e45e;конина в полутушах и четвертинах мороженая;205;bcfd90c7-2918-bb7b-822e-687fc7f361b3
